elapsed_seconds, cpu_percentage, threads, stack_committed_mb, stack_reserved_mb, heap_used_mb, eden_mb, s0_kb, s1_kb, old_mb, meta_mb, compressed_class_mb, ygc, ygct, fgc, fgct, cgc, cgct, gct
142, 1.1, 35, 2, 34, 1674.0, 1608, 0.0, 0.0, 66, 35, 4, 205, 0.003, 0, 0.000, 29, 0.000, 0.003
143, 1.1, 35, 2, 34, 1674.0, 1608, 0.0, 0.0, 66, 35, 4, 205, 0.003, 0, 0.000, 29, 0.000, 0.003
144, 1.1, 35, 2, 34, 1674.0, 1608, 0.0, 0.0, 66, 35, 4, 205, 0.003, 0, 0.000, 29, 0.000, 0.003
145, 1.1, 35, 2, 35, 1034.0, 968, 0.0, 0.0, 66, 35, 4, 208, 0.003, 0, 0.000, 29, 0.000, 0.003
147, 391.6, 36, 2, 35, 1466.0, 1398, 0.0, 0.0, 68, 35, 4, 215, 0.003, 0, 0.000, 29, 0.000, 0.003
149, 394.4, 35, 2, 34, 1854.0, 1754, 0.0, 0.0, 100, 35, 4, 222, 0.003, 0, 0.000, 32, 0.000, 0.003
151, 398.6, 35, 2, 34, 1234.0, 1134, 0.0, 0.0, 100, 35, 4, 233, 0.003, 0, 0.000, 33, 0.000, 0.003
153, 397.6, 35, 2, 34, 1962.0, 1906, 0.0, 0.0, 56, 35, 4, 236, 0.003, 0, 0.000, 33, 0.000, 0.003
155, 392.2, 35, 2, 34, 1694.0, 1636, 0.0, 0.0, 58, 35, 4, 242, 0.003, 0, 0.000, 33, 0.000, 0.003
157, 395.7, 35, 2, 34, 3394.0, 3332, 0.0, 0.0, 62, 35, 4, 246, 0.003, 0, 0.000, 33, 0.000, 0.004
159, 397.4, 35, 2, 34, 1546.0, 1482, 0.0, 0.0, 64, 35, 4, 251, 0.003, 0, 0.000, 33, 0.000, 0.004
161, 394.3, 35, 2, 34, 1488.0, 1424, 0.0, 0.0, 64, 35, 4, 254, 0.003, 0, 0.000, 33, 0.000, 0.004
163, 394.9, 35, 2, 34, 1670.0, 1606, 0.0, 0.0, 64, 35, 4, 257, 0.003, 0, 0.000, 33, 0.000, 0.004
165, 394.6, 35, 2, 34, 1472.0, 1406, 0.0, 0.0, 66, 35, 4, 260, 0.003, 0, 0.000, 33, 0.000, 0.004
167, 395.8, 35, 2, 34, 3470.0, 3402, 0.0, 0.0, 68, 35, 4, 264, 0.003, 0, 0.000, 33, 0.000, 0.004
169, 395.8, 35, 2, 34, 1430.0, 1362, 0.0, 0.0, 68, 35, 4, 269, 0.003, 0, 0.000, 33, 0.000, 0.004
171, 396.7, 35, 2, 34, 1662.0, 1592, 0.0, 0.0, 70, 35, 4, 273, 0.004, 0, 0.000, 33, 0.000, 0.004
173, 398.2, 35, 2, 34, 1362.0, 1292, 0.0, 0.0, 70, 35, 4, 278, 0.004, 0, 0.000, 33, 0.000, 0.004
174, 395.4, 35, 2, 34, 3488.0, 3416, 0.0, 0.0, 72, 35, 4, 282, 0.004, 0, 0.000, 33, 0.000, 0.004
176, 395.5, 35, 2, 34, 984.0, 912, 0.0, 0.0, 72, 35, 4, 287, 0.004, 0, 0.000, 33, 0.000, 0.004
178, 398.5, 35, 2, 34, 4462.0, 4390, 0.0, 0.0, 72, 35, 4, 288, 0.004, 0, 0.000, 33, 0.000, 0.004
180, 397.0, 35, 2, 34, 1456.0, 1384, 0.0, 0.0, 72, 35, 4, 293, 0.004, 0, 0.000, 33, 0.000, 0.004
182, 393.1, 35, 2, 34, 1658.0, 1586, 0.0, 0.0, 72, 35, 4, 296, 0.004, 0, 0.000, 33, 0.000, 0.004
184, 399.4, 35, 2, 34, 4034.0, 3962, 0.0, 0.0, 72, 35, 4, 300, 0.004, 0, 0.000, 33, 0.000, 0.004
186, 395.7, 35, 2, 34, 1290.0, 1218, 0.0, 0.0, 72, 35, 4, 305, 0.004, 0, 0.000, 33, 0.000, 0.004
188, 397.3, 35, 2, 34, 1672.0, 1600, 0.0, 0.0, 72, 35, 4, 309, 0.004, 0, 0.000, 33, 0.000, 0.004
190, 394.6, 35, 2, 34, 1662.0, 1590, 0.0, 0.0, 72, 35, 4, 314, 0.004, 0, 0.000, 33, 0.000, 0.004
192, 395.7, 35, 2, 34, 3796.0, 3724, 0.0, 0.0, 72, 35, 4, 318, 0.004, 0, 0.000, 33, 0.000, 0.005
194, 396.6, 35, 2, 34, 1574.0, 1500, 0.0, 0.0, 74, 35, 4, 323, 0.004, 0, 0.000, 33, 0.000, 0.005
196, 394.0, 35, 2, 34, 1418.0, 1344, 0.0, 0.0, 74, 35, 4, 326, 0.004, 0, 0.000, 33, 0.000, 0.005
197, 395.6, 35, 2, 34, 1622.0, 1546, 0.0, 0.0, 76, 35, 4, 329, 0.004, 0, 0.000, 33, 0.000, 0.005
199, 395.5, 35, 2, 34, 2062.0, 1984, 0.0, 0.0, 78, 35, 4, 332, 0.004, 0, 0.000, 33, 0.000, 0.005
201, 383.6, 35, 2, 34, 3990.0, 3912, 0.0, 0.0, 78, 35, 4, 336, 0.004, 0, 0.000, 33, 0.000, 0.005
203, 395.3, 35, 2, 34, 4406.0, 4326, 0.0, 0.0, 80, 35, 4, 339, 0.004, 0, 0.000, 33, 0.000, 0.005
205, 399.0, 35, 2, 34, 1716.0, 1634, 0.0, 0.0, 82, 35, 4, 344, 0.004, 0, 0.000, 33, 0.000, 0.005
207, 395.3, 35, 2, 34, 1520.0, 1438, 0.0, 0.0, 82, 35, 4, 347, 0.004, 0, 0.000, 33, 0.000, 0.005
209, 392.2, 35, 2, 34, 1248.0, 1166, 0.0, 0.0, 82, 35, 4, 350, 0.005, 0, 0.000, 33, 0.000, 0.005
211, 397.1, 35, 2, 34, 3640.0, 3556, 0.0, 0.0, 84, 35, 4, 354, 0.005, 0, 0.000, 33, 0.000, 0.005
213, 400.3, 35, 2, 34, 4378.0, 4294, 0.0, 0.0, 84, 35, 4, 357, 0.005, 0, 0.000, 33, 0.000, 0.005
215, 392.9, 35, 2, 34, 1780.0, 1696, 0.0, 0.0, 84, 35, 4, 362, 0.005, 0, 0.000, 33, 0.000, 0.005
217, 398.7, 35, 2, 34, 1296.0, 1212, 0.0, 0.0, 84, 35, 4, 365, 0.005, 0, 0.000, 33, 0.000, 0.005
218, 391.4, 35, 2, 34, 4180.0, 4094, 0.0, 0.0, 86, 35, 4, 369, 0.005, 0, 0.000, 33, 0.000, 0.005
220, 394.5, 35, 2, 34, 4422.0, 4336, 0.0, 0.0, 86, 35, 4, 372, 0.005, 0, 0.000, 33, 0.000, 0.005
222, 394.8, 35, 2, 34, 4726.0, 4640, 0.0, 0.0, 86, 35, 4, 375, 0.005, 0, 0.000, 33, 0.000, 0.005
224, 399.0, 35, 2, 34, 5044.0, 4958, 0.0, 0.0, 86, 35, 4, 378, 0.005, 0, 0.000, 33, 0.000, 0.005
226, 394.6, 35, 2, 34, 1522.0, 1436, 0.0, 0.0, 86, 35, 4, 380, 0.005, 0, 0.000, 33, 0.000, 0.005
228, 394.8, 35, 2, 34, 1762.0, 1676, 0.0, 0.0, 86, 35, 4, 383, 0.005, 0, 0.000, 33, 0.000, 0.005
230, 395.9, 35, 2, 34, 1310.0, 1224, 0.0, 0.0, 86, 35, 4, 386, 0.005, 0, 0.000, 33, 0.000, 0.005
232, 393.7, 35, 2, 34, 1322.0, 1236, 0.0, 0.0, 86, 35, 4, 389, 0.005, 0, 0.000, 33, 0.000, 0.005
234, 396.1, 35, 2, 34, 1312.0, 1226, 0.0, 0.0, 86, 35, 4, 392, 0.005, 0, 0.000, 33, 0.000, 0.005
236, 392.2, 35, 2, 34, 1338.0, 1250, 0.0, 0.0, 88, 35, 4, 398, 0.005, 0, 0.000, 33, 0.000, 0.006
238, 396.2, 35, 2, 34, 2542.0, 2452, 0.0, 0.0, 90, 35, 4, 402, 0.005, 0, 0.000, 33, 0.000, 0.006
240, 397.5, 35, 2, 34, 1458.0, 1368, 0.0, 0.0, 90, 35, 4, 407, 0.005, 0, 0.000, 33, 0.000, 0.006
242, 389.7, 35, 2, 34, 1526.0, 1436, 0.0, 0.0, 90, 35, 4, 410, 0.005, 0, 0.000, 33, 0.000, 0.006
243, 394.8, 35, 2, 34, 1618.0, 1528, 0.0, 0.0, 90, 35, 4, 413, 0.005, 0, 0.000, 33, 0.000, 0.006
245, 390.8, 35, 2, 34, 1768.0, 1678, 0.0, 0.0, 90, 35, 4, 416, 0.005, 0, 0.000, 33, 0.000, 0.006
247, 394.4, 35, 2, 34, 3098.0, 3008, 0.0, 0.0, 90, 35, 4, 420, 0.005, 0, 0.000, 33, 0.000, 0.006
249, 395.8, 35, 2, 34, 1414.0, 1324, 0.0, 0.0, 90, 35, 4, 425, 0.005, 0, 0.000, 33, 0.000, 0.006
251, 396.7, 35, 2, 34, 3352.0, 3260, 0.0, 0.0, 92, 35, 4, 429, 0.006, 0, 0.000, 33, 0.000, 0.006
253, 398.5, 35, 2, 34, 1842.0, 1748, 0.0, 0.0, 94, 35, 4, 434, 0.006, 0, 0.000, 33, 0.000, 0.006
255, 397.6, 35, 2, 34, 2900.0, 2804, 0.0, 0.0, 96, 35, 4, 438, 0.006, 0, 0.000, 33, 0.000, 0.006
257, 399.2, 35, 2, 34, 1964.0, 1866, 0.0, 0.0, 98, 35, 4, 446, 0.006, 0, 0.000, 33, 0.000, 0.006
259, 399.1, 35, 2, 34, 1472.0, 1374, 0.0, 0.0, 98, 35, 4, 452, 0.006, 0, 0.000, 33, 0.000, 0.006
261, 398.0, 35, 2, 34, 3392.0, 3294, 0.0, 0.0, 98, 35, 4, 456, 0.006, 0, 0.000, 33, 0.000, 0.006
263, 396.6, 35, 2, 34, 1582.0, 1482, 0.0, 0.0, 100, 35, 4, 461, 0.006, 0, 0.000, 33, 0.000, 0.006
265, 394.4, 35, 2, 34, 1502.0, 1402, 0.0, 0.0, 100, 35, 4, 464, 0.006, 0, 0.000, 33, 0.000, 0.006
267, 392.8, 35, 2, 34, 4466.0, 4364, 0.0, 0.0, 102, 35, 4, 468, 0.006, 0, 0.000, 33, 0.000, 0.006
269, 395.6, 35, 2, 34, 4444.0, 4342, 0.0, 0.0, 102, 35, 4, 471, 0.006, 0, 0.000, 33, 0.000, 0.006
271, 396.7, 35, 2, 34, 1580.0, 1478, 0.0, 0.0, 102, 35, 4, 476, 0.006, 0, 0.000, 33, 0.000, 0.007
273, 396.4, 35, 2, 34, 1836.0, 1732, 0.0, 0.0, 104, 35, 4, 482, 0.006, 0, 0.000, 34, 0.000, 0.007
275, 394.6, 35, 2, 34, 1506.0, 1444, 0.0, 0.0, 62, 35, 4, 485, 0.006, 0, 0.000, 38, 0.000, 0.007
277, 393.6, 35, 2, 34, 1474.0, 1412, 0.0, 0.0, 62, 35, 4, 488, 0.006, 0, 0.000, 38, 0.000, 0.007
279, 396.4, 35, 2, 34, 1628.0, 1566, 0.0, 0.0, 62, 35, 4, 491, 0.006, 0, 0.000, 38, 0.000, 0.007
280, 398.0, 35, 2, 34, 2546.0, 2482, 0.0, 0.0, 64, 35, 4, 495, 0.006, 0, 0.000, 38, 0.000, 0.007
282, 386.0, 35, 2, 34, 1636.0, 1572, 0.0, 0.0, 64, 35, 4, 500, 0.006, 0, 0.000, 38, 0.000, 0.007
284, 395.8, 35, 2, 34, 1768.0, 1704, 0.0, 0.0, 64, 35, 4, 503, 0.006, 0, 0.000, 38, 0.000, 0.007
286, 396.3, 35, 2, 34, 1666.0, 1602, 0.0, 0.0, 64, 35, 4, 506, 0.006, 0, 0.000, 38, 0.000, 0.007
288, 397.5, 35, 2, 34, 1514.0, 1450, 0.0, 0.0, 64, 35, 4, 509, 0.007, 0, 0.000, 38, 0.000, 0.007
290, 396.6, 35, 2, 34, 1638.0, 1574, 0.0, 0.0, 64, 35, 4, 512, 0.007, 0, 0.000, 38, 0.000, 0.007
292, 397.4, 35, 2, 34, 1690.0, 1626, 0.0, 0.0, 64, 35, 4, 515, 0.007, 0, 0.000, 38, 0.000, 0.007
294, 387.1, 35, 2, 34, 1720.0, 1656, 0.0, 0.0, 64, 35, 4, 518, 0.007, 0, 0.000, 38, 0.000, 0.007
296, 394.8, 35, 2, 34, 1460.0, 1396, 0.0, 0.0, 64, 35, 4, 521, 0.007, 0, 0.000, 38, 0.000, 0.007
298, 397.0, 35, 2, 34, 1538.0, 1474, 0.0, 0.0, 64, 35, 4, 524, 0.007, 0, 0.000, 38, 0.000, 0.007
299, 394.0, 35, 2, 34, 2672.0, 2608, 0.0, 0.0, 64, 35, 4, 528, 0.007, 0, 0.000, 38, 0.000, 0.007
301, 395.3, 35, 2, 34, 1986.0, 1922, 0.0, 0.0, 64, 35, 4, 534, 0.007, 0, 0.000, 38, 0.000, 0.007
303, 392.1, 35, 2, 34, 2486.0, 2420, 0.0, 0.0, 66, 35, 4, 540, 0.007, 0, 0.000, 38, 0.000, 0.007
305, 396.8, 35, 2, 34, 2102.0, 2036, 0.0, 0.0, 66, 35, 4, 546, 0.007, 0, 0.000, 38, 0.000, 0.008
307, 397.9, 35, 2, 34, 2016.0, 1948, 0.0, 0.0, 68, 35, 4, 552, 0.007, 0, 0.000, 38, 0.000, 0.008
309, 398.5, 35, 2, 34, 2636.0, 2568, 0.0, 0.0, 68, 35, 4, 558, 0.007, 0, 0.000, 38, 0.000, 0.008
311, 395.1, 35, 2, 34, 1248.0, 1178, 0.0, 0.0, 70, 35, 4, 563, 0.007, 0, 0.000, 38, 0.000, 0.008
313, 396.3, 35, 2, 34, 1872.0, 1802, 0.0, 0.0, 70, 35, 4, 566, 0.007, 0, 0.000, 38, 0.000, 0.008
315, 397.5, 35, 2, 34, 3942.0, 3870, 0.0, 0.0, 72, 35, 4, 570, 0.007, 0, 0.000, 38, 0.000, 0.008
317, 394.5, 35, 2, 34, 1834.0, 1762, 0.0, 0.0, 72, 35, 4, 575, 0.007, 0, 0.000, 38, 0.000, 0.008
319, 395.0, 35, 2, 34, 1528.0, 1456, 0.0, 0.0, 72, 35, 4, 578, 0.007, 0, 0.000, 38, 0.000, 0.008
321, 396.8, 35, 2, 34, 2680.0, 2608, 0.0, 0.0, 72, 35, 4, 582, 0.007, 0, 0.000, 38, 0.000, 0.008
323, 398.0, 35, 2, 34, 1902.0, 1828, 0.0, 0.0, 74, 35, 4, 588, 0.008, 0, 0.000, 38, 0.000, 0.008
325, 395.3, 35, 2, 34, 2506.0, 2430, 0.0, 0.0, 76, 35, 4, 594, 0.008, 0, 0.000, 38, 0.000, 0.008
327, 391.4, 35, 2, 34, 1548.0, 1470, 0.0, 0.0, 78, 35, 4, 599, 0.008, 0, 0.000, 38, 0.000, 0.008
329, 392.9, 35, 2, 34, 1396.0, 1318, 0.0, 0.0, 78, 35, 4, 602, 0.008, 0, 0.000, 38, 0.000, 0.008
331, 390.9, 35, 2, 34, 1524.0, 1446, 0.0, 0.0, 78, 35, 4, 605, 0.008, 0, 0.000, 38, 0.000, 0.008
333, 395.0, 35, 2, 34, 1722.0, 1644, 0.0, 0.0, 78, 35, 4, 608, 0.008, 0, 0.000, 38, 0.000, 0.008
335, 398.3, 35, 2, 34, 4386.0, 4308, 0.0, 0.0, 78, 35, 4, 612, 0.008, 0, 0.000, 38, 0.000, 0.008
337, 396.2, 35, 2, 34, 1480.0, 1402, 0.0, 0.0, 78, 35, 4, 617, 0.008, 0, 0.000, 38, 0.000, 0.008
339, 396.4, 35, 2, 34, 2364.0, 2286, 0.0, 0.0, 78, 35, 4, 621, 0.008, 0, 0.000, 38, 0.000, 0.008
341, 392.0, 35, 2, 34, 1604.0, 1526, 0.0, 0.0, 78, 35, 4, 626, 0.008, 0, 0.000, 38, 0.000, 0.009
343, 390.0, 35, 2, 34, 1624.0, 1544, 0.0, 0.0, 80, 35, 4, 629, 0.008, 0, 0.000, 38, 0.000, 0.009
345, 389.4, 35, 2, 34, 1112.0, 1032, 0.0, 0.0, 80, 35, 4, 635, 0.008, 0, 0.000, 38, 0.000, 0.009
346, 393.2, 35, 2, 34, 2084.0, 2004, 0.0, 0.0, 80, 35, 4, 638, 0.008, 0, 0.000, 38, 0.000, 0.009
